Date	Price	Open	High	Low	Vol.	Change %
Aug 05, 2015	155.66	156.66	156.91	155.22	260.98K	-0.78%
Aug 04, 2015	156.88	157.66	157.88	156.50	225.17K	-0.45%
Aug 03, 2015	157.59	156.41	157.94	156.12	232.46K	1.06%
Jul 31, 2015	155.94	155.25	156.66	154.81	290.06K	0.50%
Jul 30, 2015	155.16	154.16	155.47	153.41	263.30K	0.51%
Jul 29, 2015	154.38	154.78	154.97	153.88	188.72K	-0.32%
Jul 28, 2015	154.88	155.34	155.41	154.34	194.97K	-0.20%
Jul 27, 2015	155.19	154.72	155.84	154.72	212.31K	0.39%
Jul 24, 2015	154.59	154.56	155.09	154.38	256.88K	0.08%
Jul 23, 2015	154.47	153.16	154.72	152.78	239.45K	0.84%
Jul 22, 2015	153.19	152.59	153.47	152.38	211.25K	0.58%
Jul 21, 2015	152.31	151.97	152.66	150.97	210.20K	0.37%
Jul 20, 2015	151.75	152.06	152.50	151.38	196.14K	-0.22%
Jul 17, 2015	152.09	151.34	152.34	151.19	207.96K	0.50%
Jul 16, 2015	151.34	150.66	151.62	150.00	233.13K	0.33%
Jul 15, 2015	150.84	149.44	150.97	148.88	219.92K	0.88%
Jul 14, 2015	149.53	148.59	149.66	148.53	206.83K	0.25%
Jul 13, 2015	149.16	150.31	150.75	148.16	237.17K	0.05%
Jul 10, 2015	149.09	151.09	151.12	149.03	323.56K	-1.65%
Jul 09, 2015	151.59	154.25	154.66	151.09	326.90K	-1.64%
Jul 08, 2015	154.12	152.91	154.72	152.88	280.54K	0.40%
Jul 07, 2015	153.50	151.72	154.44	151.28	364.15K	0.95%
Jul 06, 2015	152.06	151.94	152.09	152.09	297.60K	1.25%
Jul 03, 2015	150.18	149.14	150.55	149.14	-	0.66%
Jul 02, 2015	149.19	148.75	149.91	147.81	238.73K	0.24%
Jul 01, 2015	148.84	150.50	150.66	148.41	248.28K	-1.33%
Jun 30, 2015	150.84	150.94	151.50	150.03	302.31K	-0.05%
Jun 29, 2015	150.91	149.75	151.69	149.22	330.27K	2.27%
Jun 26, 2015	147.56	149.25	149.50	147.34	237.26K	-1.34%
Jun 25, 2015	149.56	149.91	150.06	148.88	230.25K	-0.19%
Jun 24, 2015	149.84	148.84	149.97	148.78	228.48K	0.69%
