Date	Price	Open	High	Low	Vol.	Change %
Apr 29, 2015	58.58	56.93	59.33	56.54	411.10K	2.66%
Apr 28, 2015	57.06	56.65	57.83	56.07	281.86K	0.12%
Apr 27, 2015	56.99	57.30	57.89	56.52	250.56K	-0.28%
Apr 24, 2015	57.15	57.53	57.95	56.50	328.32K	-1.02%
Apr 23, 2015	57.74	56.28	58.41	55.76	415.57K	2.81%
Apr 22, 2015	56.16	56.34	57.19	55.73	329.63K	1.63%
Apr 21, 2015	55.26	56.41	56.91	55.01	29.60K	-1.99%
Apr 20, 2015	56.38	56.16	57.17	54.85	112.38K	1.15%
Apr 17, 2015	55.74	56.56	56.88	55.31	230.62K	-1.71%
Apr 16, 2015	56.71	55.92	57.42	55.07	413.13K	0.57%
Apr 15, 2015	56.39	53.55	56.69	53.39	508.90K	5.82%
Apr 14, 2015	53.29	52.05	53.79	51.83	431.03K	2.66%
Apr 13, 2015	51.91	51.81	53.10	51.47	375.53K	0.52%
Apr 10, 2015	51.64	50.73	51.93	50.08	395.14K	1.67%
Apr 09, 2015	50.79	51.00	52.07	50.51	449.53K	0.73%
Apr 08, 2015	50.42	53.18	53.23	50.37	552.63K	-6.60%
Apr 07, 2015	53.98	51.95	54.13	51.17	548.87K	3.53%
Apr 06, 2015	52.14	49.47	52.24	49.47	325.28K	6.11%
Apr 03, 2015	49.14	49.14	49.14	49.14	-	0.00%
Apr 02, 2015	49.14	49.59	50.27	48.11	453.39K	-1.90%
Apr 01, 2015	50.09	47.55	50.45	47.05	451.10K	5.23%
Mar 31, 2015	47.60	48.73	48.73	47.28	365.75K	-2.22%
Mar 30, 2015	48.68	48.57	49.16	47.61	355.87K	-0.39%
Mar 27, 2015	48.87	51.01	51.38	48.21	384.09K	-4.98%
Mar 26, 2015	51.43	49.02	52.48	48.73	515.28K	4.51%
Mar 25, 2015	49.21	47.72	49.46	47.00	398.80K	3.58%
Mar 24, 2015	47.51	47.46	48.56	46.67	309.55K	0.13%
Mar 23, 2015	47.45	46.41	47.61	45.33	292.42K	3.78%
Mar 20, 2015	45.72	43.99	46.53	43.31	22.46K	4.00%
Mar 19, 2015	43.96	44.60	44.71	42.75	106.91K	-1.57%
Mar 18, 2015	44.66	42.51	45.34	42.03	220.64K	2.76%
Mar 17, 2015	43.46	43.84	44.20	42.41	346.31K	-0.96%
Mar 16, 2015	43.88	44.81	45.00	42.85	367.60K	-2.14%
Mar 13, 2015	44.84	46.93	47.28	44.75	395.72K	-4.70%
Mar 12, 2015	47.05	48.44	48.76	46.86	358.38K	-2.33%
Mar 11, 2015	48.17	48.77	49.05	47.33	404.59K	-0.25%
Mar 10, 2015	48.29	50.08	50.36	48.20	395.76K	-3.42%
Mar 09, 2015	50.00	49.60	50.79	49.25	409.88K	0.79%
Mar 06, 2015	49.61	50.89	51.22	48.88	406.84K	-2.27%
Mar 05, 2015	50.76	51.62	52.40	50.61	370.95K	-1.49%
Mar 04, 2015	51.53	50.61	51.99	49.60	463.99K	2.00%
Mar 03, 2015	50.52	49.80	50.83	49.45	370.60K	1.88%
Mar 02, 2015	49.59	49.45	51.04	48.71	427.18K	-0.34%
Feb 27, 2015	49.76	48.97	49.94	48.46	399.49K	3.30%
Feb 26, 2015	48.17	51.00	51.22	47.80	459.58K	-5.53%
Feb 25, 2015	50.99	49.16	51.28	48.43	429.52K	3.47%
Feb 24, 2015	49.28	49.42	50.33	48.68	293.10K	-0.34%
Feb 23, 2015	49.45	50.75	50.99	48.67	475.38K	-1.77%
Feb 20, 2015	50.34	51.24	51.85	49.91	30.66K	-1.60%
Feb 19, 2015	51.16	50.55	52.14	49.15	125.21K	-1.88%
Feb 18, 2015	52.14	53.24	53.41	50.32	257.48K	-2.60%
Feb 17, 2015	53.53	52.75	54.15	50.81	518.80K	-0.15%
Feb 16, 2015	53.61	54.04	54.08	52.92	-	-0.82%
Feb 15, 2015	54.06	53.75	54.42	53.71	-	2.42%
Feb 13, 2015	52.78	51.35	53.43	51.03	437.07K	3.07%
Feb 12, 2015	51.21	49.42	51.60	49.14	563.66K	4.85%
Feb 11, 2015	48.84	50.98	51.14	48.05	519.27K	-2.36%
Feb 10, 2015	50.02	52.43	52.65	49.86	501.70K	-5.37%
Feb 09, 2015	52.86	52.01	53.99	51.65	536.36K	2.26%
Feb 06, 2015	51.69	50.86	53.16	50.72	584.98K	2.40%
Feb 05, 2015	50.48	48.67	52.10	47.36	596.85K	4.19%
Feb 04, 2015	48.45	51.67	52.56	47.95	577.52K	-8.67%
Feb 03, 2015	53.05	49.79	54.24	49.69	644.92K	7.02%
Feb 02, 2015	49.57	47.59	50.56	46.67	511.41K	2.76%
Jan 30, 2015	48.24	44.63	48.35	44.31	454.14K	8.33%
Jan 29, 2015	44.53	44.43	44.96	43.58	300.73K	0.18%
Jan 28, 2015	44.45	45.83	45.83	44.08	365.44K	-3.85%
Jan 27, 2015	46.23	45.13	46.55	44.81	313.14K	2.39%
Jan 26, 2015	45.15	45.20	46.41	44.35	310.64K	-0.97%
Jan 23, 2015	45.59	46.63	47.76	45.21	374.29K	-1.55%
Jan 22, 2015	46.31	47.35	49.09	45.87	426.83K	-3.08%
Jan 21, 2015	47.78	46.69	48.20	46.55	340.25K	3.00%
Jan 20, 2015	46.39	48.69	48.77	45.89	49.74K	-2.91%
Jan 19, 2015	47.78	48.84	49.19	47.64	-	-2.18%
Jan 18, 2015	48.85	48.95	49.06	48.78	-	0.32%
Jan 16, 2015	48.69	46.35	48.87	45.95	175.63K	5.28%
Jan 15, 2015	46.25	48.60	51.27	46.07	478.34K	-4.60%
Jan 14, 2015	48.48	46.16	48.91	45.01	510.25K	5.64%
Jan 13, 2015	45.89	45.69	46.79	44.20	476.54K	-0.39%
Jan 12, 2015	46.07	48.19	48.19	45.62	394.95K	-4.74%
Jan 09, 2015	48.36	48.92	49.61	47.16	421.01K	-0.88%
Jan 08, 2015	48.79	48.78	49.65	47.73	362.08K	0.29%
Jan 07, 2015	48.65	48.00	49.31	46.83	460.08K	1.50%
Jan 06, 2015	47.93	50.00	50.37	47.55	451.64K	-4.22%
Jan 05, 2015	50.04	52.61	52.73	49.68	375.78K	-5.03%
Jan 02, 2015	52.69	53.76	55.11	52.03	268.71K	-3.44%
Jan 01, 2015	54.56	53.73	54.85	53.72	-	2.43%
Dec 31, 2014	53.27	53.87	54.02	52.44	233.52K	-1.57%
Dec 30, 2014	54.12	53.72	54.32	52.70	218.56K	0.95%
Dec 29, 2014	53.61	55.05	55.74	52.90	241.38K	-2.05%
Dec 26, 2014	54.73	55.86	56.59	54.51	127.20K	-2.13%
Dec 25, 2014	55.92	55.87	56.05	55.73	-	0.14%
Dec 24, 2014	55.84	56.80	57.15	55.07	174.97K	-2.24%
Dec 23, 2014	57.12	55.39	57.56	55.06	274.00K	3.37%
Dec 22, 2014	55.26	57.75	58.53	55.13	277.32K	-2.23%
Dec 19, 2014	56.52	55.50	56.91	54.20	26.47K	4.45%
Dec 18, 2014	54.11	55.83	58.73	54.05	106.32K	-4.18%
